level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
209,209,1776905,2020-08-26,South Carolina,Hilton Head Island,Muddy Creek Rd and Spanish Wells Rd,0,4,https://www.gunviolencearchive.org/incident/1776905,2020,08-2020
210,210,1777400,2020-08-26,Pennsylvania,Philadelphia,5500 block of Chew Ave,0,4,https://www.gunviolencearchive.org/incident/1777400,2020,08-2020
211,211,1776189,2020-08-25,Virginia,Norfolk,800 block of E Princess Anne Rd,0,5,https://www.gunviolencearchive.org/incident/1776189,2020,08-2020
212,212,1775249,2020-08-25,New York,Rochester,70 block of Flower St,0,4,https://www.gunviolencearchive.org/incident/1775249,2020,08-2020
213,213,1774123,2020-08-24,Michigan,Detroit,11938 E McNichols Rd,0,4,https://www.gunviolencearchive.org/incident/1774123,2020,08-2020
214,214,1773194,2020-08-24,California,Sacramento,1200 block of Helena Ave,1,3,https://www.gunviolencearchive.org/incident/1773194,2020,08-2020
215,215,1774138,2020-08-24,Florida,West Palm Beach,1000 block of 18th St,0,4,https://www.gunviolencearchive.org/incident/1774138,2020,08-2020
216,216,1773996,2020-08-24,Virginia,Richmond,2300 block of Bethel St,1,4,https://www.gunviolencearchive.org/incident/1773996,2020,08-2020
217,217,1772680,2020-08-23,Tennessee,Somerville,1100 block of Brewer Rd,1,4,https://www.gunviolencearchive.org/incident/1772680,2020,08-2020
218,218,1772623,2020-08-23,Arkansas,Pine Bluff,2901 W 28th Ave,0,7,https://www.gunviolencearchive.org/incident/1772623,2020,08-2020
219,219,1772513,2020-08-23,New York,Brooklyn,2946 W 23rd St,1,3,https://www.gunviolencearchive.org/incident/1772513,2020,08-2020
220,220,1772934,2020-08-23,Colorado,Pueblo,2000 block of Longhorn Point,0,6,https://www.gunviolencearchive.org/incident/1772934,2020,08-2020
221,221,1772438,2020-08-23,Illinois,Champaign,100 block of Kenwood Rd,0,4,https://www.gunviolencearchive.org/incident/1772438,2020,08-2020
222,222,1773006,2020-08-23,Illinois,Chicago,6600 S Halsted St,0,4,https://www.gunviolencearchive.org/incident/1773006,2020,08-2020
223,223,1772764,2020-08-22,Illinois,Rockford,1300 block of 10th St,1,3,https://www.gunviolencearchive.org/incident/1772764,2020,08-2020
224,224,1772174,2020-08-22,Alabama,Bessemer (Hueytown),Allison Bonnet Memorial Dr and Rutledge Dr,1,3,https://www.gunviolencearchive.org/incident/1772174,2020,08-2020
225,225,1769444,2020-08-19,Pennsylvania,Philadelphia,700 block of S 55th St,0,4,https://www.gunviolencearchive.org/incident/1769444,2020,08-2020
226,226,1769489,2020-08-19,Illinois,Chicago,8500 block of S Parnell Ave,0,6,https://www.gunviolencearchive.org/incident/1769489,2020,08-2020
227,227,1768125,2020-08-18,Pennsylvania,Philadelphia,3000 block of Cumberland St,1,4,https://www.gunviolencearchive.org/incident/1768125,2020,08-2020
228,228,1767851,2020-08-18,New York,Corona (Queens),35-35 21st St,0,4,https://www.gunviolencearchive.org/incident/1767851,2020,08-2020
229,229,1767747,2020-08-18,Illinois,Rockford,3001 Harney Ct,0,4,https://www.gunviolencearchive.org/incident/1767747,2020,08-2020
230,230,1768683,2020-08-17,Ohio,Cleveland,Dove Ave and E 102nd St,0,5,https://www.gunviolencearchive.org/incident/1768683,2020,08-2020
231,231,1766574,2020-08-17,New York,Brooklyn,Atlantic Ave and Hinsdale St,0,4,https://www.gunviolencearchive.org/incident/1766574,2020,08-2020
232,232,1767402,2020-08-17,Texas,Dayton,County Rd 4901,3,2,https://www.gunviolencearchive.org/incident/1767402,2020,08-2020
233,233,1765658,2020-08-16,Kentucky,Lexington,1000 block of Newtown Ct,1,3,https://www.gunviolencearchive.org/incident/1765658,2020,08-2020
234,234,1765624,2020-08-16,Ohio,Cincinnati,700 block of Chalfonte Pl,1,3,https://www.gunviolencearchive.org/incident/1765624,2020,08-2020
235,235,1765636,2020-08-16,Ohio,Cincinnati,70 E McMicken Ave,2,9,https://www.gunviolencearchive.org/incident/1765636,2020,08-2020
236,236,1766423,2020-08-16,Ohio,Cincinnati,700 block of Chalfonte Pl,1,3,https://www.gunviolencearchive.org/incident/1766423,2020,08-2020
237,237,1766380,2020-08-16,Colorado,Denver,W Alameda Ave and S Federal Blvd,2,4,https://www.gunviolencearchive.org/incident/1766380,2020,08-2020
238,238,1765920,2020-08-16,Oklahoma,Oklahoma City,SW 59th St and Agnew Ave,0,4,https://www.gunviolencearchive.org/incident/1765920,2020,08-2020
239,239,1765336,2020-08-15,Michigan,Belleville,24914 Martinsville Rd,4,0,https://www.gunviolencearchive.org/incident/1765336,2020,08-2020
240,240,1765499,2020-08-15,Pennsylvania,Philadelphia,N 10th St and Brown St,0,5,https://www.gunviolencearchive.org/incident/1765499,2020,08-2020
241,241,1765890,2020-08-15,New York,Rochester,501 Thurston Rd,0,5,https://www.gunviolencearchive.org/incident/1765890,2020,08-2020
242,242,1765705,2020-08-15,Connecticut,New Haven,Rosette St and Hurlburt St,1,5,https://www.gunviolencearchive.org/incident/1765705,2020,08-2020
243,243,1764756,2020-08-15,Alabama,Troy,4100 US-231 S,2,3,https://www.gunviolencearchive.org/incident/1764756,2020,08-2020
244,244,1764619,2020-08-14,New York,New York (Manhattan),111 Lenox Ave,0,4,https://www.gunviolencearchive.org/incident/1764619,2020,08-2020
245,245,1762951,2020-08-12,New Jersey,Newark,N 12th St,1,4,https://www.gunviolencearchive.org/incident/1762951,2020,08-2020
246,246,1762997,2020-08-12,Ohio,Dayton,2049 Catalpa Dr,1,3,https://www.gunviolencearchive.org/incident/1762997,2020,08-2020
247,247,1761557,2020-08-11,California,Torrance,22904 Lockness Ave,0,5,https://www.gunviolencearchive.org/incident/1761557,2020,08-2020
248,248,1759873,2020-08-09,Colorado,Denver,1400 block of W Byers Pl,0,9,https://www.gunviolencearchive.org/incident/1759873,2020,08-2020
249,249,1759779,2020-08-09,Ohio,Toledo,Monroe St and N Detroit Ave,0,6,https://www.gunviolencearchive.org/incident/1759779,2020,08-2020
250,250,1758966,2020-08-09,District of Columbia,Washington,3300 block of Dubois Pl SE,1,21,https://www.gunviolencearchive.org/incident/1758966,2020,08-2020
251,251,1760207,2020-08-09,Mississippi,Jackson,3600 block of Cromwell St,0,4,https://www.gunviolencearchive.org/incident/1760207,2020,08-2020
252,252,1760261,2020-08-09,Texas,Houston,9700 Homestead Rd,0,4,https://www.gunviolencearchive.org/incident/1760261,2020,08-2020
253,253,1759425,2020-08-08,Kentucky,Paducah,900 block of Boyd St,1,4,https://www.gunviolencearchive.org/incident/1759425,2020,08-2020
254,254,1758838,2020-08-08,Pennsylvania,Philadelphia,1101 N 38th St,0,6,https://www.gunviolencearchive.org/incident/1758838,2020,08-2020
255,255,1759439,2020-08-08,Massachusetts,Brockton,124 Laureston St,0,5,https://www.gunviolencearchive.org/incident/1759439,2020,08-2020
256,256,1759237,2020-08-08,Alabama,Birmingham (Ensley),426 18th St,1,5,https://www.gunviolencearchive.org/incident/1759237,2020,08-2020
257,257,1758774,2020-08-08,New York,Albany,First St and Quail St,1,3,https://www.gunviolencearchive.org/incident/1758774,2020,08-2020
258,258,1757380,2020-08-06,California,Oakland,4500 block of Fairfax Ave,1,3,https://www.gunviolencearchive.org/incident/1757380,2020,08-2020
259,259,1756248,2020-08-05,Illinois,Chicago,700 block of S Karlov Ave,0,4,https://www.gunviolencearchive.org/incident/1756248,2020,08-2020
260,260,1755566,2020-08-04,Wisconsin,Madison,333 S Rosa Rd,0,4,https://www.gunviolencearchive.org/incident/1755566,2020,08-2020
261,261,1755297,2020-08-04,District of Columbia,Washington,5400 block of Georgia Ave NW,0,4,https://www.gunviolencearchive.org/incident/1755297,2020,08-2020
262,262,1754613,2020-08-04,California,Beverly Hills,13200 Mulholland Dr,1,4,https://www.gunviolencearchive.org/incident/1754613,2020,08-2020
263,263,1754640,2020-08-04,Missouri,Saint Louis,5300 block of Bircher Blvd,1,3,https://www.gunviolencearchive.org/incident/1754640,2020,08-2020
264,264,1754672,2020-08-04,Connecticut,Hartford,818 Windsor St,1,5,https://www.gunviolencearchive.org/incident/1754672,2020,08-2020
265,265,1754363,2020-08-03,New York,Bronx,450 St Ann's Ave,0,4,https://www.gunviolencearchive.org/incident/1754363,2020,08-2020
266,266,1753320,2020-08-02,Pennsylvania,Philadelphia,3100 block of Weymouth St,0,4,https://www.gunviolencearchive.org/incident/1753320,2020,08-2020
267,267,1753561,2020-08-02,New Jersey,Newark,200 block of 6th Ave,0,5,https://www.gunviolencearchive.org/incident/1753561,2020,08-2020
268,268,1752100,2020-08-01,Illinois,Chicago,100 block of N Laporte Ave,1,4,https://www.gunviolencearchive.org/incident/1752100,2020,08-2020
269,269,1753235,2020-08-01,Texas,Pointblank,4411 Counts Rd,2,3,https://www.gunviolencearchive.org/incident/1753235,2020,08-2020
270,270,1751949,2020-08-01,Colorado,Denver,3000 block of W Virginia Ave,1,4,https://www.gunviolencearchive.org/incident/1751949,2020,08-2020
271,271,1752790,2020-08-01,Alabama,Montgomery,1100 block of Eastern Blvd,0,4,https://www.gunviolencearchive.org/incident/1752790,2020,08-2020
272,272,1752019,2020-07-31,Pennsylvania,Philadelphia,2500 block of Ingersoll St,1,3,https://www.gunviolencearchive.org/incident/1752019,2020,07-2020
273,273,1750611,2020-07-30,Florida,Tampa,I-275 and N Westshore Blvd,0,5,https://www.gunviolencearchive.org/incident/1750611,2020,07-2020
274,274,1750548,2020-07-30,Florida,Miami Gardens,16701 NW 42 Ave,0,5,https://www.gunviolencearchive.org/incident/1750548,2020,07-2020
275,275,1750250,2020-07-29,Michigan,Detroit,5200 block of Canton St,0,4,https://www.gunviolencearchive.org/incident/1750250,2020,07-2020
276,276,1749873,2020-07-29,Ohio,Elyria,537 Willow Park Rd,5,0,https://www.gunviolencearchive.org/incident/1749873,2020,07-2020
277,277,1749746,2020-07-29,Missouri,Saint Louis,5500 block of Floy Ave,3,2,https://www.gunviolencearchive.org/incident/1749746,2020,07-2020
278,278,1749281,2020-07-28,Delaware,Wilmington,1100 block of Beech St,2,2,https://www.gunviolencearchive.org/incident/1749281,2020,07-2020
279,279,1749535,2020-07-28,Wisconsin,Milwaukee,2600 block of W Atkinson Ave,0,4,https://www.gunviolencearchive.org/incident/1749535,2020,07-2020
280,280,1748134,2020-07-27,Washington,Federal Way,2410 S 312th St,1,3,https://www.gunviolencearchive.org/incident/1748134,2020,07-2020
281,281,1747700,2020-07-27,Illinois,Chicago,705 E 92nd Pl,1,4,https://www.gunviolencearchive.org/incident/1747700,2020,07-2020
282,282,1746658,2020-07-26,Texas,Mount Enterprise,1039 FM 1798,0,4,https://www.gunviolencearchive.org/incident/1746658,2020,07-2020
283,283,1746441,2020-07-26,Michigan,Flint,4462 Corunna Rd,1,3,https://www.gunviolencearchive.org/incident/1746441,2020,07-2020
284,284,1746282,2020-07-26,Kentucky,Louisville,I-64,1,3,https://www.gunviolencearchive.org/incident/1746282,2020,07-2020
285,285,1746417,2020-07-26,Colorado,Commerce City,6300 block of Ivanhoe St,1,3,https://www.gunviolencearchive.org/incident/1746417,2020,07-2020
286,286,1748023,2020-07-26,Arkansas,Magnolia,1000 block of W Monroe St,0,4,https://www.gunviolencearchive.org/incident/1748023,2020,07-2020
287,287,1746582,2020-07-25,Michigan,Flint,4813 Clio Rd,0,6,https://www.gunviolencearchive.org/incident/1746582,2020,07-2020
288,288,1745903,2020-07-25,North Carolina,Raleigh,503 Bragg St,0,4,https://www.gunviolencearchive.org/incident/1745903,2020,07-2020
289,289,1746160,2020-07-25,Florida,Miami,2900 block of Northwest 51st St,1,3,https://www.gunviolencearchive.org/incident/1746160,2020,07-2020
290,290,1746430,2020-07-25,Colorado,Denver,East 33rd Ave and Hudson St,2,3,https://www.gunviolencearchive.org/incident/1746430,2020,07-2020
291,291,1746674,2020-07-25,Texas,Dallas,525 S Riverfront Blvd,0,4,https://www.gunviolencearchive.org/incident/1746674,2020,07-2020
292,292,1745737,2020-07-25,California,Manteca,4447 Woodward Ave,0,7,https://www.gunviolencearchive.org/incident/1745737,2020,07-2020
293,293,1744407,2020-07-24,Georgia,Atlanta,Sunset Ave NW and Lester St NW,2,2,https://www.gunviolencearchive.org/incident/1744407,2020,07-2020
294,294,1743168,2020-07-23,Virginia,Fairfield,3700 block of Meadowbridge Rd,1,3,https://www.gunviolencearchive.org/incident/1743168,2020,07-2020
295,295,1743488,2020-07-23,Virginia,Petersburg,Wesley St,0,4,https://www.gunviolencearchive.org/incident/1743488,2020,07-2020
296,296,1744332,2020-07-23,Illinois,Chicago,120th St and Prairie Ave,2,4,https://www.gunviolencearchive.org/incident/1744332,2020,07-2020
297,297,1743108,2020-07-22,Michigan,Warren,28200 block of Lawson St,0,4,https://www.gunviolencearchive.org/incident/1743108,2020,07-2020
298,298,1741838,2020-07-21,Illinois,Chicago,1018 W 79th St,0,15,https://www.gunviolencearchive.org/incident/1741838,2020,07-2020
299,299,1740533,2020-07-20,Virginia,Richmond,6850 Forest Hill Ave,1,4,https://www.gunviolencearchive.org/incident/1740533,2020,07-2020
300,300,1740615,2020-07-20,Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5,https://www.gunviolencearchive.org/incident/1740615,2020,07-2020
301,301,1739920,2020-07-19,Michigan,Detroit,McKinney St and Meuse St,1,3,https://www.gunviolencearchive.org/incident/1739920,2020,07-2020
302,302,1739571,2020-07-19,Nebraska,Omaha,28th St and T Ave,0,8,https://www.gunviolencearchive.org/incident/1739571,2020,07-2020
303,303,1740013,2020-07-19,Illinois,Chicago,11300 block of South Carpenter St,2,3,https://www.gunviolencearchive.org/incident/1740013,2020,07-2020
304,304,1739434,2020-07-19,Illinois,Peoria,NE Water St and Hamilton Blvd,0,13,https://www.gunviolencearchive.org/incident/1739434,2020,07-2020
305,305,1739658,2020-07-19,District of Columbia,Washington,3600 block of 14th St NW,1,8,https://www.gunviolencearchive.org/incident/1739658,2020,07-2020
