level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
239,239,2097075,2021-08-22,Illinois,Chicago,3400 block of W Lake St,1,4,https://www.gunviolencearchive.org/incident/2097075,2021,08-2021
240,240,2098321,2021-08-22,Oregon,Portland,322 NW Everett St,0,5,https://www.gunviolencearchive.org/incident/2098321,2021,08-2021
241,241,2097481,2021-08-22,Illinois,Carbondale,501 W Cherry St,1,3,https://www.gunviolencearchive.org/incident/2097481,2021,08-2021
242,242,2097494,2021-08-22,Colorado,Denver,19th St and Blake St,1,5,https://www.gunviolencearchive.org/incident/2097494,2021,08-2021
243,243,2097271,2021-08-22,Michigan,Grand Rapids,1500 block of Linden Ave SE,1,3,https://www.gunviolencearchive.org/incident/2097271,2021,08-2021
244,244,2096687,2021-08-21,Illinois,Chicago,3500 block of W Walnut St,0,4,https://www.gunviolencearchive.org/incident/2096687,2021,08-2021
245,245,2097063,2021-08-21,Illinois,Chicago,1600 block of E 87th Pl,1,5,https://www.gunviolencearchive.org/incident/2097063,2021,08-2021
246,246,2095800,2021-08-20,Michigan,Flint,2905 Saginaw St,1,3,https://www.gunviolencearchive.org/incident/2095800,2021,08-2021
247,247,2095116,2021-08-19,Illinois,Chicago,300 block of E 47th St,0,4,https://www.gunviolencearchive.org/incident/2095116,2021,08-2021
248,248,2095087,2021-08-19,Pennsylvania,Philadelphia,5100 block of Germantown Ave,1,4,https://www.gunviolencearchive.org/incident/2095087,2021,08-2021
249,249,2095394,2021-08-19,Maryland,Edgewood,1700 block of Crimson Tree Way,1,3,https://www.gunviolencearchive.org/incident/2095394,2021,08-2021
250,250,2094421,2021-08-18,Maryland,Germantown,19575 Scenery Dr,1,3,https://www.gunviolencearchive.org/incident/2094421,2021,08-2021
251,251,2094457,2021-08-18,North Carolina,Durham,Ridgeway Ave and Wabash St,1,3,https://www.gunviolencearchive.org/incident/2094457,2021,08-2021
252,252,2094071,2021-08-18,Ohio,Youngstown,619 Samuel Ave,2,4,https://www.gunviolencearchive.org/incident/2094071,2021,08-2021
253,253,2094035,2021-08-18,California,Los Angeles,W Jefferson Blvd and Culver Blvd,0,4,https://www.gunviolencearchive.org/incident/2094035,2021,08-2021
254,254,2093581,2021-08-17,New York,Brooklyn,422 Mother Gaston Blvd,0,5,https://www.gunviolencearchive.org/incident/2093581,2021,08-2021
255,255,2092469,2021-08-16,New York,Brooklyn,927 DeKalb Ave,0,8,https://www.gunviolencearchive.org/incident/2092469,2021,08-2021
256,256,2092227,2021-08-16,Michigan,Detroit,4421 Central Ave,1,3,https://www.gunviolencearchive.org/incident/2092227,2021,08-2021
257,257,2091597,2021-08-15,Texas,San Antonio,1621 S New Braunfels Ave,3,2,https://www.gunviolencearchive.org/incident/2091597,2021,08-2021
258,258,2091489,2021-08-15,Illinois,Chicago,1300 block of E 75th St,0,4,https://www.gunviolencearchive.org/incident/2091489,2021,08-2021
259,259,2091531,2021-08-14,Indiana,Indianapolis,Wheeler St and E 28th St,1,3,https://www.gunviolencearchive.org/incident/2091531,2021,08-2021
260,260,2090949,2021-08-14,New York,Brooklyn,Lexington Ave and Marcy Ave,0,4,https://www.gunviolencearchive.org/incident/2090949,2021,08-2021
261,261,2090971,2021-08-14,Ohio,Akron,271 Maiden Ln,0,5,https://www.gunviolencearchive.org/incident/2090971,2021,08-2021
262,262,2090777,2021-08-14,Indiana,Indianapolis,Lafayette Rd and W 38th St,1,4,https://www.gunviolencearchive.org/incident/2090777,2021,08-2021
263,263,2090924,2021-08-14,New Jersey,Trenton,875 New Willow St,0,4,https://www.gunviolencearchive.org/incident/2090924,2021,08-2021
264,264,2092110,2021-08-14,Texas,Wichita Falls,2406 Sheppard Access Rd,0,4,https://www.gunviolencearchive.org/incident/2092110,2021,08-2021
265,265,2089972,2021-08-13,Nevada,Las Vegas,2601 E Sunset Rd,1,6,https://www.gunviolencearchive.org/incident/2089972,2021,08-2021
266,266,2088659,2021-08-11,Pennsylvania,Philadelphia,5500 Rising Sun Ave,1,4,https://www.gunviolencearchive.org/incident/2088659,2021,08-2021
267,267,2087433,2021-08-10,Oregon,Portland,NE Milton St,2,4,https://www.gunviolencearchive.org/incident/2087433,2021,08-2021
268,268,2089557,2021-08-10,Mississippi,Clarksdale,,2,2,https://www.gunviolencearchive.org/incident/2089557,2021,08-2021
269,269,2086148,2021-08-09,Massachusetts,Boston,27 Irma St,1,5,https://www.gunviolencearchive.org/incident/2086148,2021,08-2021
