level_0,index,incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year
242,242,2382827,2022-08-08,Virginia,Richmond,3100 Carolina Ave,0,4,https://www.gunviolencearchive.org/incident/2382827,2022,08-2022
243,243,2381371,2022-08-07,Pennsylvania,Pittsburgh,1700 block of Brighton Pl,1,3,https://www.gunviolencearchive.org/incident/2381371,2022,08-2022
244,244,2380747,2022-08-07,Ohio,Cincinnati,1323 Main St,0,9,https://www.gunviolencearchive.org/incident/2380747,2022,08-2022
245,245,2381321,2022-08-07,Georgia,Atlanta,477 Windsor St SW,2,4,https://www.gunviolencearchive.org/incident/2381321,2022,08-2022
246,246,2381000,2022-08-07,Alabama,Birmingham,800 block of 2nd Ave N,1,4,https://www.gunviolencearchive.org/incident/2381000,2022,08-2022
247,247,2380361,2022-08-06,Michigan,Detroit,Saratoga St and Gratiot Ave,1,4,https://www.gunviolencearchive.org/incident/2380361,2022,08-2022
248,248,2380869,2022-08-06,Michigan,Detroit,19000 block of Andover St,1,6,https://www.gunviolencearchive.org/incident/2380869,2022,08-2022
249,249,2380783,2022-08-06,Pennsylvania,Duquesne,Orchard Park Ave and Ridge St,0,4,https://www.gunviolencearchive.org/incident/2380783,2022,08-2022
250,250,2379316,2022-08-05,Virginia,Norfolk,216 E Plume St,0,4,https://www.gunviolencearchive.org/incident/2379316,2022,08-2022
251,251,2379499,2022-08-05,Ohio,Dayton,7120 Hardwicke Pl,4,0,https://www.gunviolencearchive.org/incident/2379499,2022,08-2022
252,252,2380017,2022-08-05,Wisconsin,Milwaukee,N 91st St and W Allyn St,0,4,https://www.gunviolencearchive.org/incident/2380017,2022,08-2022
253,253,2378851,2022-08-04,Tennessee,Nashville,371 Hickory Trace Dr,1,3,https://www.gunviolencearchive.org/incident/2378851,2022,08-2022
254,254,2379020,2022-08-04,Nebraska,Laurel,503 Elm St,4,0,https://www.gunviolencearchive.org/incident/2379020,2022,08-2022
255,255,2377855,2022-08-03,California,Panorama City,Parthenia St and Tobias Ave,1,4,https://www.gunviolencearchive.org/incident/2377855,2022,08-2022
256,256,2377529,2022-08-03,Florida,Miami,10000 SW 173rd Terrace,0,5,https://www.gunviolencearchive.org/incident/2377529,2022,08-2022
257,257,2376380,2022-08-02,New York,Albany,Central Ave and Lexington Ave,0,5,https://www.gunviolencearchive.org/incident/2376380,2022,08-2022
258,258,2377338,2022-08-02,Florida,Orlando,9873 Lake District Ln,5,0,https://www.gunviolencearchive.org/incident/2377338,2022,08-2022
259,259,2376028,2022-08-01,Ohio,Columbus,176 Rumsey Rd,2,3,https://www.gunviolencearchive.org/incident/2376028,2022,08-2022
260,260,2375725,2022-08-01,California,Paramount,13801 Paramount Blvd,1,3,https://www.gunviolencearchive.org/incident/2375725,2022,08-2022
261,261,2375886,2022-08-01,District of Columbia,Washington,444 16th St NE,1,5,https://www.gunviolencearchive.org/incident/2375886,2022,08-2022
262,262,2374750,2022-07-31,Indiana,South Bend,St Joseph St and Milton St,0,4,https://www.gunviolencearchive.org/incident/2374750,2022,07-2022
263,263,2374430,2022-07-31,Florida,Orlando,Wall St and S Orange Ave,0,7,https://www.gunviolencearchive.org/incident/2374430,2022,07-2022
264,264,2374401,2022-07-31,Indiana,Indianapolis,Broad Ripple Ave and Guilford Ave,0,4,https://www.gunviolencearchive.org/incident/2374401,2022,07-2022
265,265,2374337,2022-07-31,Michigan,Detroit,11637 Coyle St,2,6,https://www.gunviolencearchive.org/incident/2374337,2022,07-2022
266,266,2374990,2022-07-31,Illinois,Decatur,2874 N Dinneen St,1,3,https://www.gunviolencearchive.org/incident/2374990,2022,07-2022
267,267,2375097,2022-07-31,Connecticut,Hartford,1994 Main St,0,4,https://www.gunviolencearchive.org/incident/2375097,2022,07-2022
268,268,2373924,2022-07-30,Louisiana,Monroe,2000 Peach St,1,3,https://www.gunviolencearchive.org/incident/2373924,2022,07-2022
269,269,2373692,2022-07-30,Illinois,Wheeling,800 block of Fletcher Dr,0,5,https://www.gunviolencearchive.org/incident/2373692,2022,07-2022
270,270,2373859,2022-07-30,Georgia,Girard,232 Claxton Rd,1,4,https://www.gunviolencearchive.org/incident/2373859,2022,07-2022
271,271,2373050,2022-07-29,Maryland,Baltimore,3100 block of W North Ave,2,2,https://www.gunviolencearchive.org/incident/2373050,2022,07-2022
272,272,2373646,2022-07-29,New Mexico,Albuquerque,4303 Estancia Dr NW,1,4,https://www.gunviolencearchive.org/incident/2373646,2022,07-2022
273,273,2373607,2022-07-29,Ohio,Cleveland,E 154th St and Harvard Ave,1,3,https://www.gunviolencearchive.org/incident/2373607,2022,07-2022
274,274,2373111,2022-07-29,Florida,Miami,10875 SW 216th St,0,4,https://www.gunviolencearchive.org/incident/2373111,2022,07-2022
275,275,2370760,2022-07-27,Georgia,Macon,624 Forest Hill Rd,2,2,https://www.gunviolencearchive.org/incident/2370760,2022,07-2022
276,276,2371416,2022-07-27,Louisiana,Hahnville,300 block of Sycamore St,1,3,https://www.gunviolencearchive.org/incident/2371416,2022,07-2022
277,277,2369720,2022-07-25,Louisiana,New Orleans,2000 block of Saint Andrew St,0,4,https://www.gunviolencearchive.org/incident/2369720,2022,07-2022
278,278,2368110,2022-07-24,South Carolina,Bennettsville,614 Hwy 15-401 Bypass E,1,3,https://www.gunviolencearchive.org/incident/2368110,2022,07-2022
279,279,2368575,2022-07-24,California,San Pedro,560 N Western Ave,2,6,https://www.gunviolencearchive.org/incident/2368575,2022,07-2022
280,280,2368029,2022-07-24,Georgia,Atlanta,1695 Northside Dr NW,0,8,https://www.gunviolencearchive.org/incident/2368029,2022,07-2022
281,281,2368308,2022-07-24,Texas,Fort Worth,2350 S Riverside Dr,1,3,https://www.gunviolencearchive.org/incident/2368308,2022,07-2022
282,282,2367984,2022-07-23,Virginia,Richmond,2220 Broad Rock Blvd,0,5,https://www.gunviolencearchive.org/incident/2367984,2022,07-2022
283,283,2367664,2022-07-23,Texas,El Paso,14100 block of Honey Point Dr,0,4,https://www.gunviolencearchive.org/incident/2367664,2022,07-2022
284,284,2367289,2022-07-23,North Carolina,Pinebluff,212 Primrose Path,1,4,https://www.gunviolencearchive.org/incident/2367289,2022,07-2022
285,285,2367193,2022-07-23,Washington,Renton,100 block of Logan Ave S,1,6,https://www.gunviolencearchive.org/incident/2367193,2022,07-2022
286,286,2368018,2022-07-23,Illinois,Chicago,5400 block of S Paulina St,0,4,https://www.gunviolencearchive.org/incident/2368018,2022,07-2022
287,287,2367176,2022-07-23,Illinois,Chicago,2700 block of W Jackson Blvd,0,4,https://www.gunviolencearchive.org/incident/2367176,2022,07-2022
288,288,2367157,2022-07-23,Illinois,Rockford,1401 N 2nd St,2,2,https://www.gunviolencearchive.org/incident/2367157,2022,07-2022
289,289,2367972,2022-07-23,Michigan,Kalamazoo,1300 block of N Church St,0,9,https://www.gunviolencearchive.org/incident/2367972,2022,07-2022
290,290,2366273,2022-07-21,California,Los Angeles,210 W 7th St,0,5,https://www.gunviolencearchive.org/incident/2366273,2022,07-2022
291,291,2363589,2022-07-19,Nebraska,Lincoln,2835 T St,0,4,https://www.gunviolencearchive.org/incident/2363589,2022,07-2022
292,292,2362912,2022-07-18,Georgia,Atlanta,440 Thomasvillle Blvd,0,5,https://www.gunviolencearchive.org/incident/2362912,2022,07-2022
293,293,2362595,2022-07-17,Washington,Mount Vernon,2301 Freeway Dr,0,5,https://www.gunviolencearchive.org/incident/2362595,2022,07-2022
294,294,2362141,2022-07-17,New York,Brooklyn,265 Livonia Ave,0,4,https://www.gunviolencearchive.org/incident/2362141,2022,07-2022
295,295,2361849,2022-07-17,Michigan,Detroit,,0,4,https://www.gunviolencearchive.org/incident/2361849,2022,07-2022
296,296,2362011,2022-07-17,Indiana,Greenwood,1251 US Hwy 31 N,4,2,https://www.gunviolencearchive.org/incident/2362011,2022,07-2022
297,297,2362215,2022-07-17,Indiana,Beech Grove,1100 S 9th Ave,1,3,https://www.gunviolencearchive.org/incident/2362215,2022,07-2022
298,298,2361609,2022-07-17,Michigan,Grand Rapids,77 Cesar E Chavez Ave SW,0,4,https://www.gunviolencearchive.org/incident/2361609,2022,07-2022
299,299,2361654,2022-07-17,Georgia,Milledgeville,Leo Ct and Nobles Ct,0,5,https://www.gunviolencearchive.org/incident/2361654,2022,07-2022
300,300,2362282,2022-07-17,New Jersey,Newark,751 Broadway,0,4,https://www.gunviolencearchive.org/incident/2362282,2022,07-2022
301,301,2362562,2022-07-17,Washington,Vancouver,E 11th St and E McLoughlin Blvd,2,2,https://www.gunviolencearchive.org/incident/2362562,2022,07-2022
302,302,2361532,2022-07-16,District of Columbia,Washington,200 block of Adams St NE,1,3,https://www.gunviolencearchive.org/incident/2361532,2022,07-2022
303,303,2360953,2022-07-16,Ohio,Columbus,3475 Sullivant Ave,2,2,https://www.gunviolencearchive.org/incident/2360953,2022,07-2022
304,304,2361097,2022-07-16,South Carolina,North Charleston,8440 Dorchester Rd,0,4,https://www.gunviolencearchive.org/incident/2361097,2022,07-2022
305,305,2361614,2022-07-16,Texas,Houston,2331 Bammelwood Dr,4,0,https://www.gunviolencearchive.org/incident/2361614,2022,07-2022
306,306,2362355,2022-07-16,Louisiana,Monroe,2200 block of Adams St,0,5,https://www.gunviolencearchive.org/incident/2362355,2022,07-2022
307,307,2361490,2022-07-16,Pennsylvania,Philadelphia,1300 block of E Luzerne St,0,4,https://www.gunviolencearchive.org/incident/2361490,2022,07-2022
308,308,2359843,2022-07-14,Illinois,Chicago,4400 block of W Maypole St,0,4,https://www.gunviolencearchive.org/incident/2359843,2022,07-2022
309,309,2359229,2022-07-14,Pennsylvania,Philadelphia,1901 Spring Garden St,0,4,https://www.gunviolencearchive.org/incident/2359229,2022,07-2022
310,310,2358938,2022-07-13,Pennsylvania,Philadelphia,Wyalusing Ave and N Creighton St,0,4,https://www.gunviolencearchive.org/incident/2358938,2022,07-2022
311,311,2358861,2022-07-13,Indiana,Indianapolis,3629 Merrick Way,1,3,https://www.gunviolencearchive.org/incident/2358861,2022,07-2022
312,312,2358856,2022-07-13,Minnesota,Minneapolis,1818 Lowry Ave N,0,4,https://www.gunviolencearchive.org/incident/2358856,2022,07-2022
313,313,2358329,2022-07-12,Massachusetts,Boston,39 Warren St,0,4,https://www.gunviolencearchive.org/incident/2358329,2022,07-2022
314,314,2358053,2022-07-11,Mississippi,Jackson,Fairway St and Suncrest Dr,0,4,https://www.gunviolencearchive.org/incident/2358053,2022,07-2022
315,315,2356705,2022-07-10,Illinois,Crest Hill,1828 Knapp Dr,1,4,https://www.gunviolencearchive.org/incident/2356705,2022,07-2022
316,316,2356327,2022-07-10,Missouri,Kansas City,4128 Broadway Blvd,1,5,https://www.gunviolencearchive.org/incident/2356327,2022,07-2022
317,317,2355580,2022-07-10,California,Downey,8100 block of Leeds St,3,2,https://www.gunviolencearchive.org/incident/2355580,2022,07-2022
318,318,2356813,2022-07-10,Texas,Alvin,1500 block of County Road 149,1,3,https://www.gunviolencearchive.org/incident/2356813,2022,07-2022
319,319,2355438,2022-07-10,Illinois,Chicago,448 N State St,0,4,https://www.gunviolencearchive.org/incident/2355438,2022,07-2022
320,320,2355398,2022-07-10,New York,Brooklyn,Boardwalk and W 21st St,0,5,https://www.gunviolencearchive.org/incident/2355398,2022,07-2022
321,321,2355962,2022-07-09,Alabama,Jacksons Gap,Manoy Dr,0,4,https://www.gunviolencearchive.org/incident/2355962,2022,07-2022
322,322,2354111,2022-07-08,North Carolina,Greensboro,1200 block of Fairview St,0,4,https://www.gunviolencearchive.org/incident/2354111,2022,07-2022
323,323,2354825,2022-07-08,Michigan,Detroit,3400 block of 2nd Ave,0,4,https://www.gunviolencearchive.org/incident/2354825,2022,07-2022
